procedure,data_size,library,name,mean_ns,lower_bound_ns,upper_bound_ns,data_type
serialize,1,msgpack-c,serialize string(1) with msgpack-c,51.1627,51.1235,51.2697,string
parse,1,msgpack-c,parse string(1) with msgpack-c,16.6054,16.2919,17.3955,string
deserialize,1,msgpack-c,deserialize string(1) with msgpack-c,96.5523,96.3597,97.037,string
serialize,1024,msgpack-c,serialize string(1024) with msgpack-c,66.5466,66.006,68.6904,string
parse,1024,msgpack-c,parse string(1024) with msgpack-c,19.6736,19.6673,19.6957,string
deserialize,1024,msgpack-c,deserialize string(1024) with msgpack-c,141.677,140.8,143.861,string
serialize,1048576,msgpack-c,serialize string(1048576) with msgpack-c,114454,113294,116360,string
parse,1048576,msgpack-c,parse string(1048576) with msgpack-c,19.8551,19.8458,19.8903,string
deserialize,1048576,msgpack-c,deserialize string(1048576) with msgpack-c,32040.4,30984,34281.7,string
serialize,1,protobuf,serialize string(1) with protobuf,47.4038,44.8171,53.7931,string
deserialize,1,protobuf,deserialize string(1) with protobuf,44.0816,42.6519,47.5594,string
serialize,1024,protobuf,serialize string(1024) with protobuf,212.485,210.842,217.75,string
deserialize,1024,protobuf,deserialize string(1024) with protobuf,205.223,204.336,208.49,string
serialize,1048576,protobuf,serialize string(1048576) with protobuf,215742,214784,218442,string
deserialize,1048576,protobuf,deserialize string(1048576) with protobuf,157868,156238,160786,string
serialize,1,nlohmann/json,serialize string(1) with nlohmann/json,89.5425,86.7545,97.1981,string
deserialize,1,nlohmann/json,deserialize string(1) with nlohmann/json,116.427,116.213,117.097,string
serialize,1024,nlohmann/json,serialize string(1024) with nlohmann/json,3367.09,3279.52,3600.44,string
deserialize,1024,nlohmann/json,deserialize string(1024) with nlohmann/json,6315.78,6179.09,6628.46,string
serialize,1048576,nlohmann/json,serialize string(1048576) with nlohmann/json,3.4855e+06,3.47498e+06,3.49751e+06,string
deserialize,1048576,nlohmann/json,deserialize string(1048576) with nlohmann/json,6.2112e+06,6.15194e+06,6.36492e+06,string
serialize,1,rapidjson,serialize string(1) with rapidjson,72.2035,72.0896,72.5947,string
deserialize,1,rapidjson,deserialize string(1) with rapidjson,109.73,105.738,119.91,string
serialize,1024,rapidjson,serialize string(1024) with rapidjson,1304.24,1302.65,1309.62,string
deserialize,1024,rapidjson,deserialize string(1024) with rapidjson,2139.13,2132.14,2157.27,string
serialize,1048576,rapidjson,serialize string(1048576) with rapidjson,1.3598e+06,1.34852e+06,1.37494e+06,string
deserialize,1048576,rapidjson,deserialize string(1048576) with rapidjson,2.11885e+06,2.11005e+06,2.12872e+06,string
deserialize,1,simdjson,deserialize string(1) with simdjson,122.587,121.585,125.97,string
deserialize,1024,simdjson,deserialize string(1024) with simdjson,419.858,415.096,436.918,string
deserialize,1048576,simdjson,deserialize string(1048576) with simdjson,406596,403001,411852,string
serialize,1,cereal,serialize string(1) with cereal,74.3444,71.1545,80.7296,string
deserialize,1,cereal,deserialize string(1) with cereal,60.8015,59.7187,63.6343,string
serialize,1024,cereal,serialize string(1024) with cereal,385.913,382.597,400.908,string
deserialize,1024,cereal,deserialize string(1024) with cereal,155.845,150.931,167.208,string
serialize,1048576,cereal,serialize string(1048576) with cereal,139263,137411,143956,string
deserialize,1048576,cereal,deserialize string(1048576) with cereal,153920,151944,157502,string
serialize,1,msgpack-c,serialize double[1] with msgpack-c,48.3608,48.3145,48.452,double
parse,1,msgpack-c,parse double[1] with msgpack-c,23.0611,22.9491,23.5846,double
deserialize,1,msgpack-c,deserialize double[1] with msgpack-c,345.688,344.816,347.876,double
serialize,1024,msgpack-c,serialize double[1024] with msgpack-c,7298.83,7191.88,7592.05,double
parse,1024,msgpack-c,parse double[1024] with msgpack-c,4049.63,3948.01,4242.95,double
deserialize,1024,msgpack-c,deserialize double[1024] with msgpack-c,7273.4,7262.12,7326.11,double
serialize,1048576,msgpack-c,serialize double[1048576] with msgpack-c,8.42092e+06,8.34119e+06,8.58376e+06,double
parse,1048576,msgpack-c,parse double[1048576] with msgpack-c,4.17338e+06,4.12999e+06,4.25564e+06,double
deserialize,1048576,msgpack-c,deserialize double[1048576] with msgpack-c,1.81684e+07,1.80869e+07,1.82869e+07,double
serialize,1,protobuf,serialize double[1] with protobuf,38.8666,37.9222,41.235,double
deserialize,1,protobuf,deserialize double[1] with protobuf,93.752,91.182,100.289,double
serialize,1024,protobuf,serialize double[1024] with protobuf,404.441,391.861,435.319,double
deserialize,1024,protobuf,deserialize double[1024] with protobuf,289.558,283.229,304.342,double
serialize,1048576,protobuf,serialize double[1048576] with protobuf,1.58846e+06,1.58151e+06,1.60095e+06,double
deserialize,1048576,protobuf,deserialize double[1048576] with protobuf,1.01534e+06,1.00472e+06,1.03275e+06,double
serialize,1,nlohmann/json,serialize double[1] with nlohmann/json,204.099,203.253,208.092,double
deserialize,1,nlohmann/json,deserialize double[1] with nlohmann/json,494.371,493.188,499.006,double
serialize,1024,nlohmann/json,serialize double[1024] with nlohmann/json,109443,108574,111172,double
deserialize,1024,nlohmann/json,deserialize double[1024] with nlohmann/json,265891,263446,269777,double
serialize,1,rapidjson,serialize double[1] with rapidjson,191.517,191.228,192.484,double
deserialize,1,rapidjson,deserialize double[1] with rapidjson,146.772,144.152,153.344,double
serialize,1024,rapidjson,serialize double[1024] with rapidjson,85646.5,85153.5,87662.7,double
deserialize,1024,rapidjson,deserialize double[1024] with rapidjson,38189.4,38019.9,38583.7,double
deserialize,1,simdjson,deserialize double[1] with simdjson,160.898,155.487,174.812,double
deserialize,1024,simdjson,deserialize double[1024] with simdjson,25184.9,25067.4,25634,double
serialize,1,cereal,serialize double[1] with cereal,72.9509,72.9002,73.1529,double
deserialize,1,cereal,deserialize double[1] with cereal,69.9245,69.8351,70.2874,double
serialize,1024,cereal,serialize double[1024] with cereal,1070.97,1060.54,1118.35,double
deserialize,1024,cereal,deserialize double[1024] with cereal,363.179,351.522,394.689,double
serialize,1048576,cereal,serialize double[1048576] with cereal,2.61776e+06,2.60693e+06,2.63074e+06,double
deserialize,1048576,cereal,deserialize double[1048576] with cereal,1.5349e+06,1.52627e+06,1.55099e+06,double
serialize,1,msgpack-c,serialize struct with msgpack-c,106.264,105.602,109.443,struct
parse,1,msgpack-c,parse struct with msgpack-c,31.9582,31.9258,32.0497,struct
deserialize,1,msgpack-c,deserialize struct with msgpack-c,153.416,152.455,157.221,struct
serialize,1,protobuf,serialize struct with protobuf,157.139,153.397,165.993,struct
deserialize,1,protobuf,deserialize struct with protobuf,102.771,99.7735,108.386,struct
serialize,1,nlohmann/json,serialize struct with nlohmann/json,33998,33626.4,35697.9,struct
deserialize,1,nlohmann/json,deserialize struct with nlohmann/json,76248.9,75848.2,77906.5,struct
serialize,1,rapidjson,serialize struct with rapidjson,12121.1,11887.8,12599.4,struct
deserialize,1,rapidjson,deserialize struct with rapidjson,16784.6,16392,17604.4,struct
deserialize,1,simdjson,deserialize struct with simdjson,15399.8,14241.5,16770.6,struct
serialize,1,cereal,serialize struct with cereal,416.955,412.316,433.336,struct
deserialize,1,cereal,deserialize struct with cereal,157.584,156.551,162.653,struct
