Protocol,Data Size [byte],Mean Time [sec],Max Time [sec],Min Time [sec]
light_stream,32,7.805000000000001e-07,3.091e-06,7.06e-07
light_stream,1024,9.644099999999999e-07,1.557e-06,7.01e-07
light_stream,32768,4.842010000000002e-06,5.769e-06,4.031e-06
light_stream,1048576,0.00010648864999999997,0.000110024,9.4202e-05
blocking_stream,32,5.104190000000004e-06,9.132e-06,4.968e-06
blocking_stream,1024,5.686360000000001e-06,6.95e-06,5.269e-06
blocking_stream,32768,1.1555349999999998e-05,6.5855e-05,9.871e-06
blocking_stream,1048576,0.00011266584000000001,0.000174554,0.000105709
UDPv4,32,8.948780000000003e-06,9.429e-06,8.688e-06
UDPv4,1024,1.423277e-05,1.4606e-05,1.3977e-05
UDPv4,32768,2.0902199999999998e-05,2.1376e-05,2.0709e-05
UDPv6,32,1.544828999999999e-05,1.8533e-05,1.5105e-05
UDPv6,1024,9.636210000000003e-06,2.7725e-05,8.981e-06
UDPv6,32768,2.2244160000000007e-05,2.6444e-05,2.1739e-05
