Protocol,Data Size [byte],Mean Time [sec],Max Time [sec],Min Time [sec]
light_stream,32,7.341e-08,7.77e-07,2e-08
light_stream,1024,7.412999999999998e-08,7.22e-07,2.7e-08
light_stream,32768,7.1086e-07,2.308e-06,6.5e-07
light_stream,1048576,3.512460999999999e-05,9.6799e-05,3.1345e-05
blocking_stream,32,6.498900000000005e-07,1.205e-06,5.9e-07
blocking_stream,1024,6.639599999999998e-07,1.198e-06,6.08e-07
blocking_stream,32768,1.4144600000000001e-06,1.864e-06,1.279e-06
blocking_stream,1048576,3.255297000000001e-05,6.6902e-05,3.1489e-05
UDPv4,32,1.8645400000000008e-06,2.04e-06,1.825e-06
UDPv4,1024,2.3552599999999995e-06,2.3113e-05,1.8e-06
UDPv4,32768,5.0422899999999984e-06,2.3455e-05,3.965e-06
UDPv6,32,1.8849000000000006e-06,2.651e-06,1.844e-06
UDPv6,1024,1.9901699999999996e-06,2.097e-06,1.943e-06
UDPv6,32768,4.84932e-06,5.545e-06,3.218e-06
