procedure,data_size,library,name,mean_ns,lower_bound_ns,upper_bound_ns,data_type
parse,1048576,msgpack-c,parse double[1048576] with msgpack-c,4.14503e+06,4.0362e+06,4.31342e+06,double
deserialize,1048576,msgpack-c,deserialize double[1048576] with msgpack-c,1.97227e+07,1.94989e+07,2.02948e+07,double
serialize,1,protobuf,serialize double[1] with protobuf,35.6551,35.4817,36.4478,double
deserialize,1,protobuf,deserialize double[1] with protobuf,105.747,102.155,112.926,double
serialize,1024,protobuf,serialize double[1024] with protobuf,432.236,428.579,450.287,double
deserialize,1024,protobuf,deserialize double[1024] with protobuf,308.6,305.375,323.155,double
serialize,1048576,protobuf,serialize double[1048576] with protobuf,1.66823e+06,1.63907e+06,1.71269e+06,double
deserialize,1048576,protobuf,deserialize double[1048576] with protobuf,1.12146e+06,1.09029e+06,1.16082e+06,double
serialize,1,nlohmann/json,serialize double[1] with nlohmann/json,204.761,204.008,208.228,double
deserialize,1,nlohmann/json,deserialize double[1] with nlohmann/json,1008.39,910.735,1135.56,double
serialize,1024,nlohmann/json,serialize double[1024] with nlohmann/json,115119,113592,118641,double
deserialize,1024,nlohmann/json,deserialize double[1024] with nlohmann/json,288914,288279,291472,double
serialize,1,rapidjson,serialize double[1] with rapidjson,212.282,206.912,222.554,double
deserialize,1,rapidjson,deserialize double[1] with rapidjson,140.316,140.153,140.901,double
serialize,1024,rapidjson,serialize double[1024] with rapidjson,84158.4,84007.8,84487.1,double
deserialize,1024,rapidjson,deserialize double[1024] with rapidjson,33117.7,32984.3,33488.7,double
deserialize,1,simdjson,deserialize double[1] with simdjson,161.577,160.644,165.96,double
deserialize,1024,simdjson,deserialize double[1024] with simdjson,26675,26528.8,27252.5,double
serialize,1,msgpack-c,serialize struct with msgpack-c,118.214,117.359,122.066,struct
parse,1,msgpack-c,parse struct with msgpack-c,29.4213,29.4096,29.4616,struct
deserialize,1,msgpack-c,deserialize struct with msgpack-c,162.69,161.79,166.413,struct
serialize,1,protobuf,serialize struct with protobuf,157.469,156.576,161.568,struct
deserialize,1,protobuf,deserialize struct with protobuf,113.498,111.173,119.508,struct
serialize,1,nlohmann/json,serialize struct with nlohmann/json,35340.7,35005.3,36219.3,struct
deserialize,1,nlohmann/json,deserialize struct with nlohmann/json,81143,80284.7,83309.3,struct
serialize,1,rapidjson,serialize struct with rapidjson,13187.7,13150.6,13301,struct
deserialize,1,rapidjson,deserialize struct with rapidjson,15742.4,15437.5,16430.9,struct
deserialize,1,simdjson,deserialize struct with simdjson,10270.7,10198.5,10447.2,struct
