procedure,data_size,library,name,mean_ns,lower_bound_ns,upper_bound_ns,data_type
serialize,1,msgpack-c,serialize string(1) with msgpack-c,53.2594,53.2099,53.3333,string
parse,1,msgpack-c,parse string(1) with msgpack-c,15.8279,15.8236,15.8419,string
deserialize,1,msgpack-c,deserialize string(1) with msgpack-c,103.497,99.9341,111.384,string
serialize,1024,msgpack-c,serialize string(1024) with msgpack-c,74.3364,73.7018,77.2458,string
parse,1024,msgpack-c,parse string(1024) with msgpack-c,18.2851,18.2729,18.341,string
deserialize,1024,msgpack-c,deserialize string(1024) with msgpack-c,167.328,164.363,175.198,string
serialize,1048576,msgpack-c,serialize string(1048576) with msgpack-c,114412,113088,117224,string
parse,1048576,msgpack-c,parse string(1048576) with msgpack-c,18.4065,18.0704,19.2556,string
deserialize,1048576,msgpack-c,deserialize string(1048576) with msgpack-c,30931.6,30323.8,32808,string
serialize,1,protobuf,serialize string(1) with protobuf,43.4122,43.2544,43.9693,string
deserialize,1,protobuf,deserialize string(1) with protobuf,41.9565,41.8993,42.1773,string
serialize,1024,protobuf,serialize string(1024) with protobuf,229.89,225.658,241.076,string
deserialize,1024,protobuf,deserialize string(1024) with protobuf,222.032,218.29,231.903,string
serialize,1048576,protobuf,serialize string(1048576) with protobuf,218702,217313,221169,string
deserialize,1048576,protobuf,deserialize string(1048576) with protobuf,158253,156255,161650,string
serialize,1,nlohmann/json,serialize string(1) with nlohmann/json,86.5481,86.0037,89.2242,string
deserialize,1,nlohmann/json,deserialize string(1) with nlohmann/json,106.591,106.391,107.097,string
serialize,1024,nlohmann/json,serialize string(1024) with nlohmann/json,3345.28,3336.85,3384.64,string
deserialize,1024,nlohmann/json,deserialize string(1024) with nlohmann/json,6307.23,6069.28,6723.83,string
serialize,1048576,nlohmann/json,serialize string(1048576) with nlohmann/json,3.48515e+06,3.4567e+06,3.53963e+06,string
deserialize,1048576,nlohmann/json,deserialize string(1048576) with nlohmann/json,6.09402e+06,5.96404e+06,6.52663e+06,string
serialize,1,rapidjson,serialize string(1) with rapidjson,85.4972,83.0584,91.2641,string
deserialize,1,rapidjson,deserialize string(1) with rapidjson,113.348,113.123,114.378,string
serialize,1024,rapidjson,serialize string(1024) with rapidjson,3186.97,3182.57,3198.15,string
deserialize,1024,rapidjson,deserialize string(1024) with rapidjson,3503.83,3495.44,3527.02,string
serialize,1048576,rapidjson,serialize string(1048576) with rapidjson,3.31785e+06,3.28047e+06,3.4031e+06,string
deserialize,1048576,rapidjson,deserialize string(1048576) with rapidjson,3.39758e+06,3.39049e+06,3.40657e+06,string
deserialize,1,simdjson,deserialize string(1) with simdjson,140.142,139.261,144.359,string
deserialize,1024,simdjson,deserialize string(1024) with simdjson,454.927,443.616,476.709,string
deserialize,1048576,simdjson,deserialize string(1048576) with simdjson,403543,401346,407486,string
serialize,1,msgpack-c,serialize double[1] with msgpack-c,58.8905,56.2661,63.7391,double
parse,1,msgpack-c,parse double[1] with msgpack-c,21.3125,20.9119,22.3286,double
deserialize,1,msgpack-c,deserialize double[1] with msgpack-c,127.772,127.492,128.93,double
serialize,1024,msgpack-c,serialize double[1024] with msgpack-c,8401.64,8264.92,8847.63,double
parse,1024,msgpack-c,parse double[1024] with msgpack-c,3700.54,3691.74,3714.46,double
deserialize,1024,msgpack-c,deserialize double[1024] with msgpack-c,9143.76,9130.5,9204.83,double
serialize,1048576,msgpack-c,serialize double[1048576] with msgpack-c,9.42328e+06,9.35277e+06,9.51472e+06,double
