procedure,data_size,library,name,mean_ns,lower_bound_ns,upper_bound_ns,data_type
serialize,1,msgpack-c,serialize string(1) with msgpack-c,59.5736,57.9115,63.7483,string
parse,1,msgpack-c,parse string(1) with msgpack-c,19.4052,19.3372,19.5018,string
deserialize,1,msgpack-c,deserialize string(1) with msgpack-c,87.8446,87.7,88.1519,string
serialize,1024,msgpack-c,serialize string(1024) with msgpack-c,68.4085,66.9127,71.9235,string
parse,1024,msgpack-c,parse string(1024) with msgpack-c,21.2595,21.2343,21.3226,string
deserialize,1024,msgpack-c,deserialize string(1024) with msgpack-c,88.7881,87.2871,92.5125,string
serialize,1048576,msgpack-c,serialize string(1048576) with msgpack-c,114596,113922,116375,string
parse,1048576,msgpack-c,parse string(1048576) with msgpack-c,19.7357,19.7119,19.8284,string
deserialize,1048576,msgpack-c,deserialize string(1048576) with msgpack-c,93.4908,93.276,93.8557,string
serialize,1,protobuf,serialize string(1) with protobuf,44.17,44.113,44.3588,string
deserialize,1,protobuf,deserialize string(1) with protobuf,43.2562,42.4627,45.2584,string
serialize,1024,protobuf,serialize string(1024) with protobuf,207.415,206.183,213.256,string
deserialize,1024,protobuf,deserialize string(1024) with protobuf,129.43,128.864,131.947,string
serialize,1048576,protobuf,serialize string(1048576) with protobuf,207654,206051,210387,string
deserialize,1048576,protobuf,deserialize string(1048576) with protobuf,107928,106663,110069,string
serialize,1,cereal,serialize string(1) with cereal,68.9327,68.8457,69.3427,string
deserialize,1,cereal,deserialize string(1) with cereal,223.811,223.54,224.246,string
serialize,1024,cereal,serialize string(1024) with cereal,366.432,363.608,379.093,string
deserialize,1024,cereal,deserialize string(1024) with cereal,162.953,157.721,176.407,string
serialize,1048576,cereal,serialize string(1048576) with cereal,136388,134420,141221,string
deserialize,1048576,cereal,deserialize string(1048576) with cereal,155914,154841,158952,string
serialize,1,nlohmann/json,serialize string(1) with nlohmann/json,84.3595,83.7314,87.3969,string
deserialize,1,nlohmann/json,deserialize string(1) with nlohmann/json,113.424,111.749,121.116,string
serialize,1024,nlohmann/json,serialize string(1024) with nlohmann/json,3358.17,3280.91,3511.12,string
deserialize,1024,nlohmann/json,deserialize string(1024) with nlohmann/json,6038.19,5916.61,6347.7,string
serialize,1048576,nlohmann/json,serialize string(1048576) with nlohmann/json,3.52167e+06,3.48458e+06,3.61892e+06,string
deserialize,1048576,nlohmann/json,deserialize string(1048576) with nlohmann/json,5.70184e+06,5.68796e+06,5.71582e+06,string
serialize,1,rapidjson,serialize string(1) with rapidjson,74.6453,74.5045,75.0168,string
deserialize,1,rapidjson,deserialize string(1) with rapidjson,112.185,112.011,112.771,string
serialize,1024,rapidjson,serialize string(1024) with rapidjson,1329.51,1306.73,1386.71,string
deserialize,1024,rapidjson,deserialize string(1024) with rapidjson,2114,2108.94,2132.46,string
serialize,1048576,rapidjson,serialize string(1048576) with rapidjson,1.27223e+06,1.26521e+06,1.28268e+06,string
deserialize,1048576,rapidjson,deserialize string(1048576) with rapidjson,2.0695e+06,2.05396e+06,2.09549e+06,string
deserialize,1,simdjson,deserialize string(1) with simdjson,131.808,128.314,139.612,string
