procedure,data_size,library,name,mean_ns,lower_bound_ns,upper_bound_ns,data_type
deserialize,1024,simdjson,deserialize string(1024) with simdjson,444.776,436.103,467.322,string
deserialize,1048576,simdjson,deserialize string(1048576) with simdjson,415608,413162,419876,string
serialize,1,msgpack-c,serialize int[1] with msgpack-c,53.0163,52.9335,53.2339,int
parse,1,msgpack-c,parse int[1] with msgpack-c,24.9461,24.41,26.5974,int
deserialize,1,msgpack-c,deserialize int[1] with msgpack-c,129.905,129.493,131.303,int
serialize,1024,msgpack-c,serialize int[1024] with msgpack-c,3322.04,3265.56,3470.78,int
parse,1024,msgpack-c,parse int[1024] with msgpack-c,4366.18,4363.52,4378.45,int
deserialize,1024,msgpack-c,deserialize int[1024] with msgpack-c,7775.05,7671.46,8045.97,int
serialize,1048576,msgpack-c,serialize int[1048576] with msgpack-c,3.53347e+06,3.51725e+06,3.55132e+06,int
parse,1048576,msgpack-c,parse int[1048576] with msgpack-c,5.07193e+06,4.88731e+06,5.41678e+06,int
deserialize,1048576,msgpack-c,deserialize int[1048576] with msgpack-c,1.91106e+07,1.89589e+07,1.94026e+07,int
serialize,1,protobuf,serialize int[1] with protobuf,43.9261,43.262,45.5945,int
deserialize,1,protobuf,deserialize int[1] with protobuf,103.044,98.9786,110.746,int
serialize,1024,protobuf,serialize int[1024] with protobuf,5499,5425.9,5657.23,int
deserialize,1024,protobuf,deserialize int[1024] with protobuf,5386.73,5203.28,5837.04,int
serialize,1048576,protobuf,serialize int[1048576] with protobuf,5.89479e+06,5.87101e+06,5.92849e+06,int
deserialize,1048576,protobuf,deserialize int[1048576] with protobuf,5.93188e+06,5.91746e+06,5.95009e+06,int
serialize,1,cereal,serialize int[1] with cereal,75.699,73.9309,81.0734,int
deserialize,1,cereal,deserialize int[1] with cereal,77.4538,75.8675,82.4675,int
serialize,1024,cereal,serialize int[1024] with cereal,671.58,658.856,702.196,int
deserialize,1024,cereal,deserialize int[1024] with cereal,248.546,246.2,257.924,int
serialize,1048576,cereal,serialize int[1048576] with cereal,1.09235e+06,1.07284e+06,1.11966e+06,int
deserialize,1048576,cereal,deserialize int[1048576] with cereal,685203,671702,702566,int
serialize,1,nlohmann/json,serialize int[1] with nlohmann/json,318.514,315.7,321.618,int
deserialize,1,nlohmann/json,deserialize int[1] with nlohmann/json,374.117,361.083,407.614,int
serialize,1024,nlohmann/json,serialize int[1024] with nlohmann/json,32502,32107.8,33679.7,int
deserialize,1024,nlohmann/json,deserialize int[1024] with nlohmann/json,114350,113612,115221,int
serialize,1,rapidjson,serialize int[1] with rapidjson,143.666,143.439,144.101,int
deserialize,1,rapidjson,deserialize int[1] with rapidjson,134.602,134.254,135.846,int
serialize,1024,rapidjson,serialize int[1024] with rapidjson,14124.5,14009.5,14405.8,int
deserialize,1024,rapidjson,deserialize int[1024] with rapidjson,21110.2,20497.8,22679.3,int
serialize,1,msgpack-c,serialize double[1] with msgpack-c,53.583,52.5902,56.0974,double
parse,1,msgpack-c,parse double[1] with msgpack-c,23.544,22.8222,25.3683,double
deserialize,1,msgpack-c,deserialize double[1] with msgpack-c,116.618,116.401,117.311,double
serialize,1024,msgpack-c,serialize double[1024] with msgpack-c,6613.51,6600.66,6651.28,double
parse,1024,msgpack-c,parse double[1024] with msgpack-c,4473.82,4471.75,4483.28,double
deserialize,1024,msgpack-c,deserialize double[1024] with msgpack-c,7522.1,7238.87,8041.94,double
serialize,1048576,msgpack-c,serialize double[1048576] with msgpack-c,7.82489e+06,7.75855e+06,7.91597e+06,double
parse,1048576,msgpack-c,parse double[1048576] with msgpack-c,4.74463e+06,4.70627e+06,4.80985e+06,double
deserialize,1048576,msgpack-c,deserialize double[1048576] with msgpack-c,1.79186e+07,1.77983e+07,1.81097e+07,double
serialize,1,protobuf,serialize double[1] with protobuf,39.2099,39.1749,39.3492,double
deserialize,1,protobuf,deserialize double[1] with protobuf,90.653,89.774,93.4295,double
serialize,1024,protobuf,serialize double[1024] with protobuf,422.191,413.394,443.42,double
deserialize,1024,protobuf,deserialize double[1024] with protobuf,316.014,312.999,329.372,double
serialize,1048576,protobuf,serialize double[1048576] with protobuf,1.60998e+06,1.59956e+06,1.62485e+06,double
deserialize,1048576,protobuf,deserialize double[1048576] with protobuf,990510,979596,1.00714e+06,double
serialize,1,cereal,serialize double[1] with cereal,73.0555,72.8968,73.4549,double
deserialize,1,cereal,deserialize double[1] with cereal,71.248,69.9767,74.5569,double
serialize,1024,cereal,serialize double[1024] with cereal,1037.86,1031.55,1067.53,double
deserialize,1024,cereal,deserialize double[1024] with cereal,320.131,316.633,337.412,double
serialize,1048576,cereal,serialize double[1048576] with cereal,2.79394e+06,2.72791e+06,2.8782e+06,double
deserialize,1048576,cereal,deserialize double[1048576] with cereal,1.51461e+06,1.50193e+06,1.53621e+06,double
serialize,1,nlohmann/json,serialize double[1] with nlohmann/json,202.595,201.722,206.081,double
deserialize,1,nlohmann/json,deserialize double[1] with nlohmann/json,506.034,504.432,513.521,double
serialize,1024,nlohmann/json,serialize double[1024] with nlohmann/json,110659,109078,114749,double
deserialize,1024,nlohmann/json,deserialize double[1024] with nlohmann/json,263531,260711,268216,double
serialize,1,rapidjson,serialize double[1] with rapidjson,192.136,188.679,200.874,double
deserialize,1,rapidjson,deserialize double[1] with rapidjson,153.673,148.519,166.918,double
serialize,1024,rapidjson,serialize double[1024] with rapidjson,85353.6,84191.4,88327.3,double
deserialize,1024,rapidjson,deserialize double[1024] with rapidjson,36383.8,35689.3,37570.5,double
deserialize,1,simdjson,deserialize double[1] with simdjson,164.564,163.656,168.847,double
deserialize,1024,simdjson,deserialize double[1024] with simdjson,23758.4,23626.7,24288.2,double
serialize,1,msgpack-c,serialize struct with msgpack-c,109.558,106.828,116.169,struct
parse,1,msgpack-c,parse struct with msgpack-c,33.8478,33.2647,35.2629,struct
deserialize,1,msgpack-c,deserialize struct with msgpack-c,148.456,147.575,152.357,struct
serialize,1,protobuf,serialize struct with protobuf,157.563,156.637,161.34,struct
deserialize,1,protobuf,deserialize struct with protobuf,97.984,97.2717,100.819,struct
serialize,1,cereal,serialize struct with cereal,400.792,388.785,426.793,struct
deserialize,1,cereal,deserialize struct with cereal,147.54,146.543,151.946,struct
serialize,1,nlohmann/json,serialize struct with nlohmann/json,34142.7,33804.6,35051.4,struct
deserialize,1,nlohmann/json,deserialize struct with nlohmann/json,143212,131480,157331,struct
serialize,1,rapidjson,serialize struct with rapidjson,17310.1,16593.6,18278.6,struct
deserialize,1,rapidjson,deserialize struct with rapidjson,16059.9,15893.7,16474.3,struct
deserialize,1,simdjson,deserialize struct with simdjson,8186.91,8125.16,8470.95,struct
